day	month	year	intial_time	final_time	interval	hydrated_mass	initial_mass	final_mass	t_hobo	t_air	rh	treatment	shade	dry
19	6	2015	21:00	8:09	11.15	26.3	26.3	24.4	27.08583284	25.25330597	98.59486709	shade_wet	1	0
19	6	2015	21:00	8:09	11.15	32.4	32.4	31	24.98309552	25.25330597	98.59486709	sun_dry	0	1
18	6	2015	20:23	8:09	11.73333333	33.7	33.7	32.8	27.6761288	25.78856295	97.56469254	sun_wet	0	0
18	6	2015	20:23	8:09	11.73333333	23.5	23.5	21.7	25.74731542	25.78856295	97.56469254	shade_dry	1	1
20	6	2015	8:09	13:25	5.266666667	27.9	27.9	27	26.32203797	26.81451899	95.88686417	shade_wet	1	0
20	6	2015	8:09	13:25	5.266666667	37.9	37.9	31	31.45129114	26.81451899	95.88686417	sun_dry	0	1
19	6	2015	8:09	13:45	5.6	28.6	28.6	27.9	27.6677128	27.39945104	90.57714472	sun_wet	0	0
19	6	2015	13:45	21:00	7.25	32.2	32.2	31.1	27.6677128	27.39945104	90.57714472	sun_wet	0	0
19	6	2015	8:09	13:45	5.6	22.2	22.2	18.4	32.26267262	27.39945104	86.9184375	shade_dry	1	1
19	6	2015	13:45	21:00	7.25	21.7	21.7	19.6	28.81762759	27.39945104	86.9184375	shade_dry	1	1
20	6	2015	13:25	20:32	7.116666667	31.7	31.7	20.8	27.58589696	27.70676347	86.9184375	shade_wet	1	0
20	6	2015	13:25	20:32	7.116666667	37.9	31	28	28.35131828	27.70676347	86.9184375	sun_dry	0	1
19	6	2015	21:00	8:09	11.15	26.3	26.3	19.4	27.08583284	31.25330597	68.59486709	shade_wet	1	0
19	6	2015	21:00	8:09	11.15	32.4	32.4	26	24.98309552	31.25330597	68.59486709	sun_dry	0	1
18	6	2015	20:23	8:09	11.73333333	33.7	33.7	27.8	27.6761288	31.78856295	67.56469254	sun_wet	0	0
18	6	2015	20:23	8:09	11.73333333	23.5	23.5	16.7	25.74731542	31.78856295	67.56469254	shade_dry	1	1
20	6	2015	8:09	13:25	5.266666667	27.9	27.9	22	26.32203797	32.81451899	65.88686417	shade_wet	1	0
20	6	2015	8:09	13:25	5.266666667	37.9	37.9	26	31.45129114	32.81451899	65.88686417	sun_dry	0	1
19	6	2015	8:09	13:45	5.6	28.6	28.6	22.9	27.6677128	33.39945104	60.57714472	sun_wet	0	0
19	6	2015	13:45	21:00	7.25	32.2	32.2	26.1	27.6677128	33.39945104	60.57714472	sun_wet	0	0
19	6	2015	8:09	13:45	5.6	22.2	22.2	13.4	32.26267262	33.39945104	56.9184375	shade_dry	1	1
19	6	2015	13:45	21:00	7.25	21.7	21.7	14.6	28.81762759	33.39945104	56.9184375	shade_dry	1	1
20	6	2015	13:25	20:32	7.116666667	31.7	31.7	15.8	27.58589696	33.70676347	56.9184375	shade_wet	1	0
20	6	2015	13:25	20:32	7.116666667	37.9	31	23	28.35131828	33.70676347	56.9184375	sun_dry	0	1
