species	day	month	year	hour	minute	second	temp_1	temp_2	temp_3	temp_4	temp_5	temp_6	t_air	Lon	Lat
Fulanus_beltranus	7	4	2020	0	0	0	10.074	6.9684	5.138	16.4404	11.9396	14.1396	8.7428	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	4	0	10.1908	7.3652	5.218	16.5156	12.0948	14.2932	8.7428	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	8	0	10.2292	7.642	5.258	16.3636	12.21	14.37	8.7428	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	12	0	10.3076	7.9956	5.338	16.21	12.2884	14.4084	8.7428	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	16	0	10.346	8.2324	5.458	16.1332	12.3268	14.4468	8.3892	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	20	0	10.2692	8.3892	5.538	16.2484	12.4036	14.4468	8.3892	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	24	0	10.1908	8.5076	5.578	16.3636	12.4804	14.4468	8.3892	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	28	0	10.2692	8.7044	5.618	16.554	12.5588	14.5236	8.3892	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	32	0	10.4628	8.9396	5.698	17.09	12.674	14.754	8.8612	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	36	0	10.6196	9.1348	5.7764	17.434	12.8292	15.0228	8.8612	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	40	0	10.7364	9.37	5.8164	17.586	13.0212	15.2916	8.8612	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	44	0	10.7364	9.4868	5.8964	17.5092	13.1764	15.4436	8.8612	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	48	0	10.7364	9.6436	5.9364	17.1668	13.2532	15.3684	8.9396	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	52	0	10.6964	9.722	6.0164	16.554	13.2532	15.2148	8.9396	50.03723396	9.978655977
Fulanus_beltranus	7	4	2020	0	56	0	10.7748	9.8004	6.0564	16.4404	13.2148	15.138	8.9396	50.03723396	9.978655977
