species	id	temp	performance	size	site	acctemp	hydration
Fulanus_beltranus	2412	3	22.26	1.994	Cafundo	10	0.825
Fulanus_beltranus	2015	3	24.3	3.327	Cafundo	10	0.825
Fulanus_beltranus	2122	3	25.02	2.658	Cafundo	10	0.825
Fulanus_beltranus	2220	3	25.44	2.346	Cafundo	10	0.825
Fulanus_beltranus	2022	3	26.04	3.006	Cafundo	10	0.775
Fulanus_beltranus	2212	3	26.82	2.504	Cafundo	10	0.775
Fulanus_beltranus	2343	3	27	2.499	Cafundo	10	0.775
Fulanus_beltranus	2221	3	27.36	1.961	Cafundo	10	0.775
Fulanus_beltranus	2410	3	27.42	2.143	Cafundo	10	0.725
Fulanus_beltranus	2215	3	27.96	2.329	Cafundo	10	0.725
Fulanus_beltranus	2125	3	28.44	2.267	Cafundo	10	0.725
Fulanus_beltranus	2014	3	28.44	4.441	Cafundo	10	0.725
Fulanus_beltranus	2131	3	28.8	2.488	Cafundo	10	0.675
Fulanus_beltranus	2020	3	28.86	1.759	Cafundo	10	0.675
Fulanus_beltranus	2035	3	29.34	2.292	Cafundo	15	0.875
Fulanus_beltranus	2024	3	29.4	2.503	Cafundo	15	0.875
Fulanus_beltranus	2225	3	29.52	2.414	Cafundo	15	0.875
Fulanus_beltranus	2041	3	29.7	4.642	Cafundo	15	0.875
Fulanus_beltranus	2423	3	29.94	3.653	Cafundo	15	0.825
Fulanus_beltranus	2232	3	30.6	2.235	Cafundo	15	0.825
Fulanus_beltranus	2421	3	30.66	2.556	Cafundo	15	0.825
Fulanus_beltranus	2032	3	30.66	2.317	Cafundo	15	0.825
Fulanus_beltranus	2113	3	30.96	2.828	Cafundo	15	0.775
Fulanus_beltranus	2025	3	30.96	5.507	Cafundo	15	0.775
Fulanus_beltranus	2033	3	31.44	2.307	Cafundo	15	0.775
Fulanus_beltranus	2231	3	31.56	3.182	Cafundo	15	0.775
Fulanus_beltranus	2145	3	31.62	5.45	Cafundo	15	0.725
Fulanus_beltranus	2110	3	32.46	2.293	Cafundo	20	0.85
Fulanus_beltranus	2310	3	32.94	2.441	Cafundo	20	1
Fulanus_beltranus	2243	3	33.48	2.63	Cafundo	20	1
Fulanus_beltranus	2114	3	34.68	2.765	Cafundo	20	1
Fulanus_beltranus	2340	3	34.92	2.445	Cafundo	20	1
Fulanus_beltranus	2324	3	35.04	2.044	Cafundo	20	0.95
Fulanus_beltranus	2043	3	35.64	2.257	Cafundo	20	0.95
Fulanus_beltranus	2242	3	35.94	3.175	Cafundo	20	0.95
Fulanus_beltranus	2045	3	35.94	2.869	Cafundo	20	0.95
Fulanus_beltranus	2311	3	35.94	2.35	Cafundo	20	0.9
Fulanus_beltranus	2325	3	36.42	2.546	Cafundo	20	0.9
Fulanus_beltranus	2042	3	36.54	2.439	Cafundo	20	0.9
